test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,5.662969116091845,0.0328501218074235,5.420365769014825,0.2097532252695964,3235355.52
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.066033516590251,0.9619345298758706,2.8831796855547145,0.2209193011596653,866555.7
4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.7972884373611304,0.0247254053817596,1.5556324626698188,0.2169305693095521,129724.38
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.6389646379003535,0.0554492039448817,4.3576329958259885,0.2258824381294835,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.9406697950942906,0.3072654934844467,2.431947653069583,0.201456648540261,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.06181146266812,0.3932795519259526,2.487941800302433,0.1805901104397344,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.164511561210384,0.4751711672317467,2.516513677608382,0.1728267163702548,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.871627479477902,0.5367728062567769,2.168675486290958,0.1661791869301669,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.03161396203388,0.6533303773618533,2.224297453192485,0.1539861314795416,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.107424922649516,0.7927407274377765,2.174068437301976,0.1406157579097635,519168.0
5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.2208687772613485,0.921653776949388,2.170859592741399,0.1283554075705615,519168.0
5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.4040548969974043,1.0984485614881851,2.190820361039223,0.1147859744699962,519168.0
5.0,250.0,248.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.024978069040808,1.262552202501683,1.6555789281890612,0.1068469383500632,184320.0
5.0,250.0,279.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.429051568831783,1.3856374488037546,1.9484760456379444,0.0949380743900837,294912.0
6.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.3540229693084256,0.3732249227247664,2.7604469763035016,0.2203510702801577,1035050.41
6.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.648221512710443,0.4191443800652634,2.035817853374537,0.1932592792706418,411831.22
6.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.76558233009011,0.5356031217676356,2.044454829782189,0.1855243785402854,430245.92
6.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.832484034849331,0.6358566235395848,2.0209413561400287,0.1756860551697173,399870.8
