test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.4356404591433586,1.20053204945998,0.0221713969400481,0.9783828414999244,0.1999778110200077,129724.38
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,6.598252634030014,0.0141497596399409,6.388623072710088,0.195479801679985,750000.0
4.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.527313921679943,0.1330240627699455,5.195504028890023,0.1987858300199741,608837.08
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,17.29714407853,0.0478249876299656,17.05376134032003,0.1955577505800056,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,7.335479580830061,0.2890107095300394,6.870159775419998,0.1763090958800239,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,8.284564750379959,0.3713114349100026,7.744073110459904,0.1691802050100523,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,8.349930971159901,0.4527889332599075,7.733535941550008,0.1636060963499858,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.035555558540018,0.5011904467100798,4.378272244019936,0.1560928678100026,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.115816892269959,0.5924343270600367,4.378384103209928,0.1449984619999941,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.206465337899935,0.6939154486098227,4.37790739707014,0.134642492219973,519168.0
5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.30874140065991,0.7972622999799386,4.388565040029989,0.1229140606499822,519168.0
5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,5.618921827479953,1.1014542077998888,4.40528651143004,0.1121811082500244,519168.0
5.0,250.0,248.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,2.9680520456199155,1.3912772336998387,1.4731743762899896,0.1036004356300873,184320.0
5.0,250.0,279.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,3.6973512629800096,1.1782445570199886,2.426105395820014,0.0930013101400072,294912.0
6.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,9.514860841910012,0.3639744238100864,8.955635542309992,0.195250875789934,1035050.41
6.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,4.044562908880034,0.4100689851801689,3.458242024549836,0.1762518991500292,411831.22
6.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,4.2849224802199934,0.4991627725899525,3.614041740200046,0.171717967429995,430245.92
6.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,4.085957494940012,0.5737825834301296,3.3502684194898937,0.1619064920199889,399870.8
6.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,2.891338551800145,0.5800652481002544,2.1564608178098568,0.1548124858900337,263738.42
6.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,2.23964586170001,0.6937629514801302,1.4018185262197769,0.144064384000103,176569.73
6.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.436462454212003,2.371555136789975,0.8893379691198424,1.3476294892001714,0.1345876784699612,171126.88
